0		615		1057.5	1390.5	1621.5	1753.5	1788.5	1734.5	1584	1330.5 	968 	498 	58
539		1030	1535	1846	2060	2184	2219	2164	2020	1786	1444	977		558
903		1467	1878.5	2172.5	2379	2500	2533	2479	2335	2105	1777.5	1337	915
1158.5	1723.5	2135	2430	2628.5	2738	2765	2710	2573	2344	2011	1571	1160
1301.5	1878	2290	2586	2777.5	2885.5	2910	2853	2716	2494	2159.5	1730.5	1304
1346	1929	2340	2635.5	2825	2930	2953	2896.5	2760	2539	2204	1775	1343.5
1296	1890	2301.5	2600	2794	2902	2924	2866.5	2729	2502	2162.5	1732.5	1300
1181.5	1756	2170	2467	2672	2787	2812	2752	2608.5	2369	2025.5	1597	1174
952.5	1521	1934	2240.5	2445.5	2569	2598	2534	2381	2137.5	1798	1364.5	944.5
631		1189.5	1611	1916.5	2129	2247.5	2277	2213.5	2060.5	1817.5	1482	1036	622
192.5	752.5	1183.5	1501	1719	1843.5	1875.5	1816	1661	1413.5	1066.5	598		187
-106	401.5	835		1166	1387	1512	1541	1482.5	1329	1076.5	717.5	246.5	-163.5	
